Adresse IP,Requêtes IP,Domaine,Requêtes Domaine
,,190-0-175-100.gba.solunet.com.ar.ripngd,1
,,190-0-175-100.gba.solunet.com.ar.ospfd,1
,,190-0-175-100.gba.solunet.com.ar.bgpd,1
,,190-0-175-100.gba.solunet.com.ar.ospf,1
,,190-0-175-100.gba.solunet.com.ar.ospfap,1
,,190-0-175-100.gba.solunet.com.ar.isisd,1
,,190-0-175-100.gba.solunet.com.ar.dict,1
,,190-0-175-100.gba.solunet.com.ar.gsiftp,1
,,190-0-175-100.gba.solunet.com.ar.gpsd,1
,,190-0-175-100.gba.solunet.com.ar.afback,1
,,190-0-175-100.gba.solunet.com.ar.afmbac,1
,,190-0-175-100.gba.solunet.com.ar.gds,1
,,190-0-175-100.gba.solunet.com.ar.icpv,1
,,12.250.250.10.in-addr.arpa,1
,,ns1.lan.rt,1
,,74.43.107.184.in-addr.arpa,1
,,190-0-175-100.gba.solunet.com.ar.iscsi,1
,,190-0-175-100.gba.solunet.com.ar.mysql,1
,,190-0-175-100.gba.solunet.com.ar.nut,1
,,190-0-175-100.gba.solunet.com.ar.distcc,1
,,190-0-175-100.gba.solunet.com.ar.daap,1
,,190-0-175-100.gba.solunet.com.ar.svn,1
,,190-0-175-100.gba.solunet.com.ar.suucp,1
,,190-0-175-100.gba.solunet.com.ar.sysrqd,1
,,190-0-175-100.gba.solunet.com.ar.sieve,1
,,190-0-175-100.gba.solunet.com.ar.xtell,1
,,190-0-175-100.gba.solunet.com.ar.epmd,1
,,190-0-175-100.gba.solunet.com.ar.remctl,1
,,100.175.0.190.in-addr.arpa,1
,,par21s05-in-f131.1e100.net.http,66
,,131.204.58.216.in-addr.arpa,1
,,par21s05-in-f131.1e100.net,1
,,par21s05-in-f3.1e100.net,1
,,detectportal.firefox.com,2
,,detectportal.prod.mozaws.net,2
,,prod.detectportal.prod.cloudops.mozgcp.net,2
,,82.221.107.34.bc.googleusercontent.com.http,11
,,success.txt,1
,,82.221.107.34.in-addr.arpa,1
,,82.221.107.34.bc.googleusercontent.com,1
,,aus5.mozilla.org,2
,,balrog-aus5.r53-2.services.mozilla.com,2
,,prod.balrog.prod.cloudops.mozgcp.net,2
,,201.181.244.35.bc.googleusercontent.com.https,30
,,93.184.220.29.http,12
,,201.181.244.35.in-addr.arpa,1
,,201.181.244.35.bc.googleusercontent.com,1
,,29.220.184.93.in-addr.arpa,1
,,server-54-230-114-7.mrs52.r.cloudfront.net.https,10
,,7.114.230.54.in-addr.arpa,1
,,server-54-230-114-7.mrs52.r.cloudfront.net,1
,,ec2-35-166-112-194.us-west-2.compute.amazonaws.com.https,4
,,194.112.166.35.in-addr.arpa,1
,,server-54-230-114-73.mrs52.r.cloudfront.net.https,10
,,ec2-34-211-70-226.us-west-2.compute.amazonaws.com.https,4
,,ec2-35-166-112-194.us-west-2.compute.amazonaws.com,1
,,1.115.168.192.in-addr.arpa,1
,,server-54-230-114-122.mrs52.r.cloudfront.net.https,4
,,73.114.230.54.in-addr.arpa,1
,,server-54-230-114-73.mrs52.r.cloudfront.net,1
,,226.70.211.34.in-addr.arpa,1
,,ec2-34-211-70-226.us-west-2.compute.amazonaws.com,1
,,122.114.230.54.in-addr.arpa,1
,,server-54-230-114-122.mrs52.r.cloudfront.net,1
,,www.google.com,2
,,par21s04-in-f4.1e100.net.https,302
,,www.google.fr,2
,,par10s38-in-f3.1e100.net.https,1082
,,164.213.58.216.in-addr.arpa,1
,,par21s04-in-f4.1e100.net,1
,,par21s04-in-f164.1e100.net,1
,,195.18.217.172.in-addr.arpa,1
,,par10s38-in-f3.1e100.net,1
,,ham02s14-in-f195.1e100.net,1
,,par21s23-in-f3.1e100.net.https,451
,,163.201.250.142.in-addr.arpa,1
,,par21s23-in-f3.1e100.net,1
,,par21s20-in-f2.1e100.net.https,16
,,par21s23-in-f2.1e100.net.https,13
,,lhr25s01-in-f2.1e100.net.https,16
,,98.179.250.142.in-addr.arpa,1
,,par21s20-in-f2.1e100.net,1
,,162.201.250.142.in-addr.arpa,1
,,par21s23-in-f2.1e100.net,1
,,66.213.58.216.in-addr.arpa,1
,,lhr25s01-in-f2.1e100.net,1
,,lhr25s01-in-f66.1e100.net,1
,,par21s18-in-f2.1e100.net,1
,,par21s11-in-f14.1e100.net.https,39
,,lh5.googleusercontent.com,2
,,googlehosted.l.googleusercontent.com,2
,,par21s17-in-f1.1e100.net.https,356
,,ocsp.pki.goog,2
,,pki-goog.l.google.com,2
,,238.19.217.172.in-addr.arpa,1
,,par21s11-in-f14.1e100.net,1
,,33.215.58.216.in-addr.arpa,1
,,par21s17-in-f1.1e100.net,1
,,par21s22-in-f14.1e100.net.https,4
,,mad01s26-in-f174.1e100.net.https,4
,,par10s40-in-f14.1e100.net.https,4
,,par21s12-in-f14.1e100.net.https,4
,,142.178.250.142.in-addr.arpa,1
,,par21s22-in-f14.1e100.net,1
,,174.214.58.216.in-addr.arpa,1
,,mad01s26-in-f174.1e100.net,1
,,mad01s26-in-f14.1e100.net,1
,,par10s42-in-f14.1e100.net,1
,,238.74.250.142.in-addr.arpa,1
,,par10s40-in-f14.1e100.net,1
,,142.22.217.172.in-addr.arpa,1
,,par21s12-in-f14.1e100.net,1
,,www.gstatic.com,2
,,id.google.fr,2
,,par21s18-in-f3.1e100.net.https,35
,,67.213.58.216.in-addr.arpa,1
,,par21s18-in-f3.1e100.net,1
,,lhr25s01-in-f3.1e100.net,1
,,lhr25s01-in-f67.1e100.net,1
,,id.google.com,2
,,par10s40-in-f3.1e100.net.https,38
,,227.74.250.142.in-addr.arpa,1
,,par10s40-in-f3.1e100.net,1
,,apis.google.com,2
,,plus.l.google.com,2
,,iut-roanne.univ-st-etienne.fr,2
,,mauves.univ-st-etienne.fr,5
,,mauves.univ-st-etienne.fr.https,2438
,,fonts.googleapis.com,2
,,par21s11-in-f10.1e100.net.https,53
,,48.1.3.161.in-addr.arpa,1
,,234.19.217.172.in-addr.arpa,1
,,par21s11-in-f10.1e100.net,1
,,par10s28-in-f14.1e100.net.https,4
,,www.google-analytics.com,4
,,www-google-analytics.l.google.com,4
,,piwik.univ-st-etienne.fr,2
,,par21s20-in-f14.1e100.net.https,99
,,fonts.gstatic.com,2
,,gstaticadssl.l.google.com,2
,,110.204.58.216.in-addr.arpa,1
,,par10s28-in-f14.1e100.net,1
,,par10s28-in-f110.1e100.net,1
,,110.179.250.142.in-addr.arpa,1
,,par21s20-in-f14.1e100.net,1
,,www.aggloroanne.fr,3
,,www.aggloroanne.fr.https,3152
,,62.120.105.46.in-addr.arpa,1
,,translate.google.com,2
,,www3.l.google.com,2
,,par21s17-in-f14.1e100.net.https,106
,,46.215.58.216.in-addr.arpa,1
,,par21s17-in-f14.1e100.net,1
,,translate.googleapis.com,2
,,par21s23-in-f10.1e100.net.https,184
,,analytics.stratis.fr,2
,,170.201.250.142.in-addr.arpa,1
,,www02.stratis.fr,2
,,91.121.37.244.https,51
,,par21s23-in-f10.1e100.net,1
,,ocsp.usertrust.com,2
,,ocsp.comodoca.com.cdn.cloudflare.net,2
,,104.18.31.182.http,7
,,244.37.121.91.in-addr.arpa,1
,,182.31.18.104.in-addr.arpa,1
,,translate-pa.googleapis.com,2
,,par21s20-in-f10.1e100.net.https,31
,,106.179.250.142.in-addr.arpa,1
,,par21s20-in-f10.1e100.net,1
